time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:30:46,183",0004,72512,45,IEEE154_TYPE_BEACON,0,16,ffff92cc0000000d,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0006', '000f', '0008', '0007', '0005', '0003']"
"2017-07-20 15:30:46,344",0002,72534,45,IEEE154_TYPE_BEACON,0,25,ffff92cc0000000e,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0007', '000c', '0009', '0008', '0005', '0003', '0001', '000e']"
"2017-07-20 15:30:46,432",0003,72545,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000002,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000d,IANA_UNDEFINED,155,0,1,0,"['000f', '0009', '0007', '0006', '0004', '0002']"
"2017-07-20 15:30:46,528",0006,72556,45,IEEE154_TYPE_BEACON,0,24,ffff92cc00000003,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000b,IANA_UNDEFINED,155,0,1,0,"['0003', '000c', '0009', '0008', '0005', '0004', '000b']"
"2017-07-20 15:30:46,615",000f,72567,45,IEEE154_TYPE_BEACON,0,22,ffff92cc00000003,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000c,IANA_UNDEFINED,155,0,1,0,"['0004', '000c', '0009', '0008', '0007', '0005', '0003']"
"2017-07-20 15:30:46,629",0002,72567,95,IEEE154_TYPE_DATA,0,22,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000002,IANA_ICMPv6,155,0,1,0,"['0001', '000e']"
"2017-07-20 15:30:46,705",0009,72578,45,IEEE154_TYPE_BEACON,0,23,ffff92cc0000000f,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['000f', '0007', '0003']"
"2017-07-20 15:30:46,719",0006,72578,95,IEEE154_TYPE_DATA,0,23,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000006,IANA_ICMPv6,155,0,1,0,"['000c', '0008', '0005', '0004']"
"2017-07-20 15:30:46,738",0001,72578,45,IEEE154_TYPE_BEACON,0,23,ffff92cc00000002,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,"['0002', '000b', '000d']"
"2017-07-20 15:30:46,809",0007,72589,45,IEEE154_TYPE_BEACON,0,14,ffff92cc00000009,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000b,IANA_UNDEFINED,155,0,1,0,"['0002', '0009', '0003', '000b', '000e', '000d']"
"2017-07-20 15:30:46,819",0004,72589,95,IEEE154_TYPE_DATA,0,14,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000004,IANA_ICMPv6,155,0,1,0,"['0008', '0005', '000f', '0006']"
"2017-07-20 15:30:46,902",0005,72600,45,IEEE154_TYPE_BEACON,0,19,ffff92cc00000004,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000004,IANA_UNDEFINED,155,0,1,0,"['0008', '0007', '000f', '000c', '0006', '0004', '0002', '000d']"
"2017-07-20 15:30:46,997",000c,72611,45,IEEE154_TYPE_BEACON,0,18,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000006,IANA_UNDEFINED,155,0,1,0,"['0006', '0009']"
"2017-07-20 15:30:47,008",0008,72611,45,IEEE154_TYPE_BEACON,0,18,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000004,IANA_UNDEFINED,155,0,1,0,"['0004', '000f', '0005', '0002', '000e', '000d']"
"2017-07-20 15:30:47,011",0007,72611,95,IEEE154_TYPE_DATA,0,18,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000007,IANA_ICMPv6,155,0,0,0,[]
"2017-07-20 15:30:47,028",000b,72611,45,IEEE154_TYPE_BEACON,0,18,ffff92cc00000007,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,['0001']
"2017-07-20 15:30:47,099",0009,72622,95,IEEE154_TYPE_DATA,0,20,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000009,IANA_ICMPv6,155,0,1,0,['000d']
"2017-07-20 15:30:47,105",0005,72622,95,IEEE154_TYPE_DATA,0,20,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000005,IANA_ICMPv6,155,0,1,0,"['0007', '000c', '0004']"
"2017-07-20 15:30:47,111",0003,72622,95,IEEE154_TYPE_DATA,0,20,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000003,IANA_ICMPv6,155,0,1,0,"['0002', '000f', '0006', '000b']"
"2017-07-20 15:30:47,128",000e,72622,45,IEEE154_TYPE_BEACON,0,20,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,"['0008', '0001']"
"2017-07-20 15:30:47,219",000d,72633,45,IEEE154_TYPE_BEACON,0,11,ffff92cc00000009,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000009,IANA_UNDEFINED,155,0,1,0,"['0009', '0008', '0007', '0001', '000e']"
"2017-07-20 15:30:47,275",0004,72644,45,IEEE154_TYPE_BEACON,0,26,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000005,IANA_UNDEFINED,155,0,1,0,"['000f', '0007', '0006', '0005', '000d']"
"2017-07-20 15:30:47,440",0002,72666,45,IEEE154_TYPE_BEACON,0,12,ffff92cc00000003,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000003,IANA_UNDEFINED,155,0,1,0,"['0008', '0005', '000c', '0009', '0007', '0003', '0001', '000e']"
